episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
40,1.0,-7.263357863107451,0.8304545634642952,62.05957030663772,0.2,4.2,5,5.001,False,True,0.23222952660175872,0,60.26571885716431,1606386906.8590026,in_progress
40,2.0,-7.25985657935346,0.8410782049950276,62.544669848754566,2.0,3.8,4,5.001,False,True,0.2505275278169121,0,60.26571885716431,1606386906.9306395,in_progress
40,3.0,-7.252511518479096,0.8597285477846753,62.90422262783286,-19.0,1.35,13,5.001,False,True,0.2835808326961458,1,60.26571885716431,1606386906.9941404,in_progress
40,4.0,-7.231984977237948,0.91191473196371,63.94780621601877,-5.0,3.33,9,5.001,False,True,0.37604832408741073,1,60.26571885716431,1606386907.0690644,in_progress
40,5.0,-7.210482127165362,0.9669637112900441,65.07826595966999,-0.15,4.3,7,5.001,False,True,0.47347211480612045,1,60.26571885716431,1606386907.137502,in_progress
40,6.0,-7.185963258027696,1.0396883323390562,66.88942554093978,-2.0,3.88,8,5.001,False,True,0.5983763660908377,1,60.26571885716431,1606386907.2100246,in_progress
40,7.0,-7.166734370774334,1.0963931165230625,67.97611080600862,-11.0,2.1,11,5.001,False,True,0.6962001859560218,1,60.26571885716431,1606386907.288885,in_progress
40,8.0,-7.112824249159653,1.2286554403910148,67.76964109930499,-15.0,1.6,12,5.001,False,True,0.9316135177876286,2,60.26571885716431,1606386907.3551557,in_progress
40,9.0,-7.062550617952047,1.331064428539549,66.14452832304568,-19.0,1.35,13,5.001,False,True,1.1194220399072274,2,60.26571885716431,1606386907.4359393,in_progress
40,10.0,-6.994685339135487,1.4429404982333387,62.75530542711103,-7.5,2.85,10,5.001,False,True,1.3364467235518283,2,60.26571885716431,1606386907.5089185,in_progress
40,11.0,-6.928868928985338,1.5353030280850246,59.27545293552511,-11.0,2.1,11,5.001,False,True,1.5236193486273912,3,60.26571885716431,1606386907.5747933,in_progress
40,12.0,-6.863492984386964,1.61284403008042,55.6658848856133,-11.0,2.1,11,5.001,False,True,1.6892969380355844,3,60.26571885716431,1606386907.6511252,in_progress
40,13.0,-6.750818577878349,1.7208155087778805,49.23773064050236,-11.0,2.1,11,5.001,False,True,1.936880383844642,4,60.26571885716431,1606386907.7245243,in_progress
40,14.0,-6.632477747501942,1.812483087224899,43.2629575759998,-2.0,3.88,8,5.001,False,True,2.1654297688628192,4,60.26571885716431,1606386907.8000956,in_progress
40,15.0,-6.507103814114738,1.8938156135708824,37.72361526661156,-11.0,2.1,11,5.001,False,True,2.3788432772639605,4,60.26571885716431,1606386907.8712254,in_progress
40,16.0,-6.3860764017286336,1.9595716043262048,32.99399809816181,-19.0,1.35,13,5.001,False,True,2.5690561307950124,5,60.26571885716431,1606386907.9417043,in_progress
40,17.0,-6.258580091746721,2.019315659217262,29.083064344611547,-11.0,2.1,11,5.001,False,True,2.7710989019408707,5,60.26571885716431,1606386908.0095742,in_progress
40,18.0,-6.120988889563866,2.067426333761449,24.073085984255915,2.0,3.8,4,5.001,False,True,2.953171528286622,6,60.26571885716431,1606386908.0743196,in_progress
40,19.0,-5.99121189259958,2.1023519282585124,19.735211570711925,-11.0,2.1,11,5.001,False,True,3.176873093399372,6,60.26571885716431,1606386908.1426215,in_progress
40,20.0,-5.848742112353809,2.13150723844968,15.681900910626059,-11.0,2.1,11,5.001,False,True,3.3497196996984404,7,60.26571885716431,1606386908.217805,in_progress
40,21.0,-5.707157301970173,2.1512231184656105,11.785892669608,-11.0,2.1,11,4.002000000000001,False,False,3.6437080253467826,7,60.26571885716431,1606386908.2956872,in_progress
40,22.0,-5.557451214785354,2.1621588886004734,7.8899647844824665,17.0,1.2,0,4.002000000000001,False,False,4.02409324992701,8,60.26571885716431,1606386908.3603702,in_progress
40,23.0,-5.423952188639694,2.162990793592462,4.318074684323976,-24.0,1.15,14,4.002000000000001,True,False,4.72480831867095,10,60.26571885716431,1606386908.425367,off_track
41,1.0,-5.431021232895328,3.066599289149385,9.373051823952261,-11.0,2.1,11,5.001,False,True,0.23214129673432352,12,60.26571885716431,1606386908.831699,in_progress
41,2.0,-5.423129149653977,3.0659798298962158,8.852492450979032,-11.0,2.1,11,5.001,False,True,0.24525300343623824,12,60.26571885716431,1606386908.8985057,in_progress
41,3.0,-5.398361534796812,3.06483539137609,7.619232147682162,-15.0,1.6,12,5.001,False,True,0.2863776589554251,12,60.26571885716431,1606386908.969131,in_progress
41,4.0,-5.360485547665465,3.0586426251257963,4.956079358300975,-7.5,2.85,10,5.001,False,True,0.3493990190820029,12,60.26571885716431,1606386909.0691123,in_progress
41,5.0,-5.279216547461928,3.0391124519201247,-1.0542795561948533,-11.0,2.1,11,5.001,False,True,0.48480593643846354,13,60.26571885716431,1606386909.1240535,in_progress
41,6.0,-5.207180713878398,3.0179337866534044,-5.5024213561954785,-24.0,1.15,14,5.001,False,True,0.6147435222037299,13,60.26571885716431,1606386909.1916897,in_progress
41,7.0,-5.132111409161071,2.989984492904052,-10.04796988625652,17.0,1.2,0,5.001,False,True,0.7454175100253799,14,60.26571885716431,1606386909.2527893,in_progress
41,8.0,-5.08308910429235,2.969224279419369,-12.791197401125672,-15.0,1.6,12,5.001,False,True,0.8314654030936598,14,60.26571885716431,1606386909.3216026,in_progress
41,9.0,-4.988467194757663,2.9247332033434756,-17.587120595203338,0.2,4.2,5,5.001,False,True,1.0157953181980095,14,60.26571885716431,1606386909.3919606,in_progress
41,10.0,-4.921975877935625,2.8859321226641894,-21.453008003746618,8.0,2.75,2,5.001,False,True,1.1400580172412438,15,60.26571885716431,1606386909.4662275,in_progress
41,11.0,-4.799957403514759,2.8068229002306118,-27.6630128404566,0.2,4.2,5,5.001,False,True,1.3886492229078062,15,60.26571885716431,1606386909.5311472,in_progress
41,12.0,-4.714191962446759,2.7436213789641943,-31.259169509328693,8.0,2.75,2,5.001,False,True,1.5592239267515906,16,60.26571885716431,1606386909.5886033,in_progress
41,13.0,-4.606986406170744,2.6596346540274793,-34.63136744936334,17.0,1.2,0,5.001,False,True,1.7775938820074666,16,60.26571885716431,1606386909.6664667,in_progress
41,14.0,-4.492022049064359,2.5745431043552163,-35.80083600714824,17.0,1.2,0,5.001,False,True,2.0068714265581447,17,60.26571885716431,1606386909.734849,in_progress
41,15.0,-4.410983438596139,2.5169945738128616,-35.59983992839259,17.0,1.2,0,5.001,False,True,2.1648898999566817,17,60.26571885716431,1606386909.7909675,in_progress
41,16.0,-4.324503403672123,2.4590979661383616,-34.86269256536871,17.0,1.2,0,5.001,False,True,2.310294795173837,17,60.26571885716431,1606386909.8551908,in_progress
41,17.0,-4.220616854667319,2.4050946584342596,-31.72822034416334,11.0,2.0,1,5.001,False,True,2.502172767869272,18,60.26571885716431,1606386909.9162178,in_progress
41,18.0,-4.152127667382882,2.370290172885499,-30.328046785512537,11.0,2.0,1,5.001,False,True,2.6282528678872734,18,60.26571885716431,1606386909.9894235,in_progress
41,19.0,-4.01496601174887,2.305877660597747,-27.649033982884323,11.0,2.0,1,5.001,False,True,2.849621426528909,18,60.26571885716431,1606386910.0617647,in_progress
41,20.0,-3.9185270263438827,2.2657982963486236,-25.728765483684665,17.0,1.2,0,5.001,False,True,3.0216130126558856,19,60.26571885716431,1606386910.12303,in_progress
41,21.0,-3.8130414754464144,2.2306434934764594,-22.79040102977802,-0.15,4.3,7,5.001,False,True,3.1975634408530436,19,60.26571885716431,1606386910.1928134,in_progress
41,22.0,-3.69513798187527,2.199012905771209,-19.29229035311614,11.0,2.0,1,5.001,False,True,3.384359991610701,19,60.26571885716431,1606386910.2720008,in_progress
41,23.0,-3.5584013201180453,2.1744669425585617,-14.772978588245385,11.0,2.0,1,5.001,False,True,3.6145486777085916,20,60.26571885716431,1606386910.3280816,in_progress
41,24.0,-3.4523359496453043,2.163687588031351,-11.25787773297006,2.0,3.8,4,5.001,False,True,3.7912820998548438,20,60.26571885716431,1606386910.3925252,in_progress
41,25.0,-3.3218058264060177,2.1570605314096425,-7.3446220333662655,0.2,4.2,5,5.001,False,True,4.004548628216955,20,60.26571885716431,1606386910.466429,in_progress
41,26.0,-3.1543405759693375,2.15070368372942,-4.51278691427072,-0.15,4.3,7,5.001,False,True,4.277338651631955,21,60.26571885716431,1606386910.5299902,in_progress
41,27.0,-3.0199928942550236,2.1497064156429215,-2.5390645332948587,0.2,4.2,5,5.001,False,True,4.496804434446153,21,60.26571885716431,1606386910.5989373,in_progress
41,28.0,-2.8197393249964287,2.1533899914696066,-0.376720472982128,-15.0,1.6,12,5.001,False,True,4.818240387980599,22,60.26571885716431,1606386910.6599443,in_progress
41,29.0,-2.680136016953477,2.1577947928468024,1.3275564565531786,-5.0,3.33,9,5.001,False,True,5.042138792737004,22,60.26571885716431,1606386910.7285604,in_progress
